Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL051900	3324.63	30.05	13.52
AL061900	2411.14	34.23	18.24
AL071900	2244.81	39.21	16.27
AL011901	1269.15	20.16	11.08
AL021901	2809.0	23.11	12.75
AL031901	2578.22	21.83	10.85
AL041901	3765.51	16.91	9.25
AL051901	1061.84	14.69	10.41
AL061901	1222.41	12.67	9.7
AL071901	4868.2	33.53	15.03
AL081901	3761.67	37.07	14.83
AL091901	678.43	7.15	4.92
AL101901	4456.05	47.94	16.18
AL111901	3209.94	32.3	14.08
AL121901	996.68	16.0	11.07
AL131901	1654.67	18.04	9.51
AL011902	2231.14	42.01	17.47
AL021902	2066.6	34.68	9.82
AL031902	3902.5	22.65	17.12
AL041902	2883.92	44.65	11.59
AL051902	1708.76	24.35	12.38
AL011903	2395.82	28.47	17.36
AL021903	3392.04	20.14	13.46
AL031903	1257.18	13.05	7.28
AL041903	1910.44	21.36	13.77
AL051903	1707.34	22.13	9.18
AL061903	2391.34	40.45	22.14
AL071903	2690.17	19.3	11.5
AL081903	851.99	11.1	6.17
AL091903	2509.38	35.23	16.09
AL101903	2149.28	16.54	10.54
AL011904	713.25	12.34	6.99
AL021904	2834.23	59.9	15.53
AL031904	925.47	9.15	5.71
AL041904	1336.33	11.84	5.91
AL051904	2834.97	36.11	18.17
AL061904	2569.99	36.31	17.13
AL011905	834.81	18.37	15.46
AL021905	829.69	11.7	6.59
AL031905	1315.71	13.52	8.36
AL041905	3511.12	26.04	11.7
AL051905	1423.85	21.85	9.11
AL011906	1402.79	21.18	9.49
AL021906	2142.09	19.32	9.29
AL031906	1000.07	20.1	11.91
AL041906	6492.81	40.54	14.82
AL051906	3351.23	16.25	9.26
AL061906	1959.74	13.05	7.71
AL071906	3196.9	32.62	12.39
AL081906	2813.39	21.0	7.81
AL091906	1009.89	17.8	12.02
AL101906	1176.01	13.24	8.91
AL111906	883.75	9.9	7.01
AL011907	2550.68	37.09	16.67
AL021907	1263.98	17.6	9.84
AL031907	1442.42	36.2	22.19
AL041907	1190.71	44.21	18.04
AL051907	1385.15	14.18	8.55
AL011908	649.71	11.89	8.33
AL021908	1831.32	32.89	11.19
AL031908	2302.67	28.99	9.31
AL041908	611.88	7.95	4.53
AL051908	808.08	20.96	10.1
AL061908	3955.45	42.11	13.45
AL071908	318.97	7.37	5.91
AL081908	3586.37	18.33	9.2
AL091908	463.87	9.74	4.07
AL101908	1445.87	21.08	14.18
AL011909	285.3	4.86	2.5
AL021909	841.7	8.25	6.95
AL031909	1614.34	13.28	8.03
AL041909	2492.89	14.72	11.54
AL051909	1304.41	16.88	11.44
AL061909	2526.79	19.45	12.76
AL071909	765.63	12.78	9.82
AL081909	840.5	17.08	9.27
AL091909	1872.29	19.27	9.18
AL101909	1215.29	19.68	10.13
AL111909	2252.3	25.85	12.94
AL121909	1672.33	23.34	11.15
AL011910	2024.13	22.22	12.98
AL021910	388.48	4.95	3.08
AL031910	2451.78	17.28	9.64
AL041910	1868.14	26.81	14.15
AL051910	2898.48	27.34	8.33
AL011911	2311.49	27.43	12.84
AL021911	918.56	15.99	6.37
AL031911	1463.03	12.87	7.37
AL041911	2188.95	14.72	9.86
AL051911	879.42	16.32	6.98
AL061911	1247.37	26.67	8.66
AL011912	2013.78	30.76	8.48
AL021912	973.35	10.28	8.21
AL031912	803.78	17.23	7.05
AL041912	574.44	19.96	5.13
AL051912	1339.65	20.27	7.7
AL061912	1240.52	11.06	7.95
AL071912	1063.75	12.52	4.22
AL011913	1696.84	14.83	9.22
AL021913	949.51	23.38	17.58
AL031913	4734.0	21.58	11.44
AL041913	800.95	17.22	6.74
AL051913	1267.04	12.12	6.24
AL061913	402.79	11.01	7.46
AL011914	1078.94	15.86	10.66
AL011915	1329.36	22.17	10.55
AL021915	5809.13	19.7	13.32
AL031915	2601.64	25.28	7.48
AL041915	1788.58	18.14	11.95
AL051915	1254.26	32.25	13.94
AL061915	2989.92	28.42	12.15
AL011916	1619.46	25.21	14.99
AL021916	1802.83	14.98	6.22
AL031916	3320.7	41.98	11.25
AL041916	879.69	9.36	8.13
AL051916	310.62	9.29	5.75
AL061916	2967.76	19.53	15.89
AL071916	1500.49	16.84	12.43
AL081916	2539.25	21.28	16.93
AL091916	790.1	19.23	13.17
AL101916	2292.01	16.17	11.23
AL111916	2653.26	31.38	14.74
AL121916	614.61	27.45	10.61
AL131916	2771.79	35.0	13.2
AL141916	2099.55	24.08	8.86
AL151916	1576.6	32.42	12.51
AL011917	2376.05	14.98	12.38
AL021917	1967.4	46.49	14.26
AL031917	4064.16	40.72	19.92
AL041917	2580.98	19.46	10.48
AL011918	2697.89	18.57	16.65
AL021918	1977.68	23.32	19.39
AL031918	839.08	15.91	10.57
AL041918	480.24	8.32	3.64
AL051918	1918.49	33.29	12.3
AL061918	1457.6	12.66	11.04
AL011919	569.08	13.05	7.12
AL031919	960.76	14.82	13.34
AL021919	2743.37	14.61	8.2
AL041919	627.56	11.11	8.84
AL051919	1252.83	14.01	9.08
AL011920	3144.1	26.84	14.16
AL021920	2034.7	22.67	12.18
AL031920	680.17	14.12	5.97
AL041920	486.12	10.83	4.77
AL051920	1048.61	34.24	8.84
AL011921	1878.7	16.79	7.46
AL021921	358.82	10.01	3.99
AL031921	4672.3	48.38	16.57
AL041921	1735.8	33.27	10.71
AL051921	3343.66	34.08	15.92
AL061921	2642.08	40.2	10.75
AL071921	1297.0	13.95	8.01
AL011922	1245.33	16.99	12.21
AL021922	5019.98	43.54	13.72
AL031922	898.93	14.67	5.35
AL041922	1330.27	11.06	4.93
AL051922	1046.03	14.43	7.58
AL011923	1737.87	28.65	11.74
AL021923	1591.8	23.43	6.98
AL031923	829.86	10.39	8.64
AL041923	2347.74	36.34	19.57
AL051923	3194.06	37.28	13.31
AL061923	1830.35	22.95	14.53
AL071923	1589.93	24.72	14.33
AL081923	3231.69	48.27	25.4
AL091923	686.78	14.17	10.41
AL011924	867.95	13.51	11.13
AL021924	1023.7	18.86	17.06
AL031924	3916.89	40.41	13.32
AL041924	3796.52	27.16	13.46
AL051924	2347.79	31.65	14.19
AL061924	350.28	10.74	5.31
AL071924	4001.9	22.58	14.19
AL081924	1793.21	48.87	19.14
AL091924	700.44	12.77	7.78
AL101924	1794.99	21.01	7.82
AL111924	1935.98	20.41	8.72
AL011925	1220.94	32.01	15.65
AL021925	806.0	24.92	13.43
AL031925	507.49	12.8	12.08
AL041925	1804.4	24.55	9.25
AL011926	3127.56	18.89	11.54
AL021926	2611.3	25.93	10.61
AL031926	1795.68	17.71	10.19
AL041926	4569.13	28.82	8.1
AL051926	573.46	8.03	5.31
AL061926	984.3	12.22	6.31
AL071926	2808.39	17.0	10.5
AL081926	2253.37	17.99	9.16
AL091926	654.22	14.42	10.9
AL101926	3771.11	26.7	11.22
AL111926	995.98	16.8	9.76
AL011927	5730.98	51.51	21.71
AL021927	2882.11	18.88	12.64
AL031927	1730.88	23.2	10.68
AL041927	2894.61	34.74	13.78
AL051927	1265.89	22.46	14.25
AL061927	958.02	31.47	12.28
AL071927	1214.92	29.95	10.66
AL081927	975.61	18.09	14.78
AL011928	2335.01	17.79	8.97
AL021928	2507.65	14.69	10.69
AL031928	1616.54	16.26	9.62
AL041928	5093.34	20.05	14.13
AL051928	2494.28	29.73	21.88
AL061928	1791.36	29.3	14.22
AL011929	1197.33	28.08	15.26
AL021929	3069.55	21.53	8.0
AL031929	1492.7	36.72	13.09
AL041929	1319.93	21.27	10.48
AL051929	1223.17	21.23	14.56
AL011930	3418.14	48.22	11.63
AL021930	5474.48	20.73	11.5
AL031930	249.33	6.98	3.78
AL011931	912.45	14.54	8.9
AL021931	1510.51	14.98	10.56
AL031931	2191.01	20.98	11.07
AL041931	1161.24	14.1	9.68
AL051931	650.69	14.17	9.04
AL061931	2245.35	18.05	13.86
AL071931	2606.76	16.86	13.58
AL081931	1674.21	26.49	11.63
AL091931	794.28	26.19	11.03
AL101931	2087.75	28.76	20.47
AL111931	280.42	5.52	2.75
AL121931	931.6	17.74	7.39
AL131931	842.79	18.26	10.03
AL011932	1419.42	19.27	10.75
AL021932	929.47	12.88	10.24
AL031932	2622.83	34.72	12.01
AL041932	5644.69	34.36	13.07
AL051932	728.97	14.0	8.1
AL061932	2837.29	45.16	13.31
AL071932	3262.69	30.19	12.65
AL081932	1335.03	30.32	14.71
AL091932	2073.31	16.2	11.52
AL101932	297.59	15.32	5.51
AL111932	1994.01	16.12	7.22
AL121932	1341.33	38.77	13.15
AL131932	992.72	20.42	13.79
AL141932	4426.89	36.07	11.9
AL151932	2307.74	32.69	12.82
AL011933	1142.53	23.34	9.07
AL021933	3651.77	15.03	11.7
AL031933	3075.49	17.34	9.64
AL041933	678.73	19.61	11.31
AL051933	2701.77	18.2	9.11
AL061933	4945.14	23.7	13.7
AL071933	1557.43	17.13	8.65
AL081933	4305.41	17.06	12.3
AL091933	2519.47	27.27	12.72
AL101933	481.07	9.28	6.17
AL111933	1916.12	18.51	10.61
AL121933	4036.75	25.15	11.4
AL131933	922.34	14.26	6.99
AL141933	2543.71	16.83	11.46
AL151933	1604.37	20.8	16.71
AL161933	785.6	19.82	8.73
AL171933	2449.61	32.72	12.76
AL181933	1951.87	27.33	6.02
AL191933	1589.98	27.22	13.95
AL201933	322.01	8.87	7.67
AL011934	3992.56	29.76	9.61
AL021934	1952.19	28.19	16.27
AL031934	1334.53	17.27	12.28
AL041934	750.66	14.65	12.51
AL051934	882.43	9.38	5.66
AL061934	757.51	16.0	10.0
AL071934	1758.8	25.35	14.02
AL081934	1838.63	19.46	10.94
AL091934	2422.0	19.44	13.92
AL101934	776.76	18.67	11.77
AL111934	830.8	9.66	6.63
AL121934	1441.3	23.25	15.01
AL131934	1969.39	17.98	8.01
AL011935	1347.38	24.49	14.04
AL021935	2977.43	29.77	11.82
AL031935	4381.96	44.11	14.66
AL041935	704.57	10.5	8.39
AL051935	2996.08	35.1	13.14
AL061935	1460.44	12.04	6.95
AL071935	1907.78	13.99	8.37
